pub_date,title,venue,excerpt,citation,url_slug,paper_url
1/1/2007,Discovery of a 1. 0 Ma Yellow River terrace and redating of the fourth Yellow River terrace in Lanzhou area,Progress in Natural Science,This paper reports the 4th terrace of Yellow River in Lanzhou area,"Baotian, P., Huai, S., Chunsheng, H., Ziaofei, H., Tian, Z., & Jijun, L. (2007). Discovery of a 1.0 Ma Yellow River Terrace and redating of the fourth Yellow River terrace in Lanzhou area. Progress in Natural Science, 17, 197-205.",Yellow-River-Lanzhou,https://www.tandfonline.com/doi/abs/10.1080/10020070612331343246
1/1/2012,Meander hydrodynamics initiated by river restoration deflectors,Hydrological Processes,This study quantifies how river restoration structures change surface flow hydrodynamics,"Zhou, T., & Endreny, T. (2012). Meander hydrodynamics initiated by river restoration deflectors. Hydrological Processes, 26, 3378-3392.",HP-CFD,https://doi.org/10.1002/hyp.8352
1/2/2013,Assessing urban forest effects and values: Toronto's urban forest,USDA Forest Service Report,"An analysis of trees in Toronto, Ontario","Nowak, D. J., Hoehn, R. E., III, Bodine, A. R., Greenfield, E. J., Ellis, A., Endreny, T. A., Yang, Y., Zhou, T., & Henry, R. (2013). Assessing urban forest effects and values: Toronto's urban forest. ",Toronto-forest,https://doi.org/10.2737/nrs-rb-79 
1/1/2013,Reshaping of the hyporheic zone beneath river restoration structures: flume and hydrodynamic experiments,Water Resources Research,This study quantifies how river restoration structures change surface and hyporheic flow hydrodynamics,"Zhou, T., & Endreny, T. A. (2013). Reshaping of the hyporheic zone beneath river restoration structures: Flume and hydrodynamic experiments. Water Resources Research, 49, 5009-5020. ",WRR-Flume-Hyporheic,https://doi.org/10.1002/WRCR.20384
1/1/2014,Evaluation of real-time satellite precipitation data for global drought monitoring,Journal of Hydrometeorology,This study evaluates the difference between TRMM-real time (RT) and TRMM-research product (RP),"Zhou, T., Nijssen, B., Huffman, G. J., & Lettenmaier, D. P. (2014). Evaluation of Real-Time Satellite Precipitation Data for Global Drought Monitoring. Journal of hydrometeorology, 15, 1651-1660.",JHM-TRMM,https://doi.org/10.1175/JHM-D-13-0128.1
1/2/2014,A prototype global drought information system based on multiple land surface models,Journal of Hydrometeorology,This paper is about a global drought monitoring system based on VIC model,"Nijssen, B., Shukla, S., Lin, C., Gao, H., Zhou, T., Ishottama, Sheffield, J., Wood, E. F., & Lettenmaier, D. P. (2014). A Prototype Global Drought Information System Based on Multiple Land Surface Models. Journal of hydrometeorology, 15, 1661-1676.",JHM-Drought-Monitoring,https://doi.org/10.1175/JHM-D-13-090.1
1/1/2016,The contribution of reservoirs to global land surface water storage variations,Journal of Hydrometeorology,"This study investigates human-induced water storage (reservoirs) variation and compares it with natural variations (SWE, soil moisture)",,JHM-VIC-Reservoir,https://doi.org/10.1175/JHM-D-15-0002.1
1/2/2016,Human induced changes in the global water cycle,Terrestrial Water Cycle and Climate Change: Natural and Human-Induced Impacts; Geophysical Monograph 221; 57,This is a book chapter for AGU monograph about human impact on land surface water budget,,AGU-Mono,https://doi.org/10.1002/9781118971772.ch4
1/1/2017,Coupling a three-dimensional subsurface flow and transport model with a land surface model to simulate stream-aquifer-land interactions ,Geoscientific Model Development,This paper is about coupling CLM and PFLOTRAN,,GMD-CLM-PFLOTRAN,https://doi.org/10.5194/gmd-10-4539-2017
1/2/2017,A New Approach to Quantify Shallow Water Hydrologic Exchanges in a Large Regulated River Reach,Water,This paper uses streambed temperature to predict vertical hydrologic exchange rate in Columbia River,,Water-iButton,https://doi.org/10.3390/w9090703
1/3/2017,Understanding and seasonal forecasting of hydrological drought in the Anthropocene,Hydrology and Earth System Sciences,This paper discusses drought events in Yellow River basin,,Yellow-River-drought,https://doi.org/10.5194/hess-21-5477-2017
1/4/2017,Opportunities for joint water-energy management: sensitivity of the 2010 Western U.S. electricity grid operations to climate oscillations,Bulletin of the American Meteorological Society,This paper assesses the vulnerability of the current western U.S. grid to historical climate variability using multiple energy and water system models,,BAMS,https://doi.org/10.1175/BAMS-D-16-0253.1
1/1/2018,Modulating factors of hydrologic exchanges in a large-scale river reach: insights from three-dimensional computational fluid dynamics simulations,Hydrological Processes ,This paper investigates the major control factors of hydrologic exchange in a 7km Columbia River reach,,HP-Columbia-River-CFD,https://doi.org/10.1002/hyp.13266
1/2/2018,Non-stationary hydropower generation projections constrained by environmental and electricity grid operations over the western United States,Environmental Research Letters,This paper compares process-based model predictions with simple regression results in terms of future hydropower generation,,ERL-Hydropower,https://doi.org/10.1088/1748-9326/aad19f
1/3/2018,Evaluating the functionality and streamflow impacts of explicitly modeling forest snow interactions and canopy gaps in a distributed hydrologic model,Hydrological Processes ,This paper examines the effect of forest gaps on snow processes,,HP-Snow-Gap,https://doi.org/10.1002/hyp.13150
